City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
268,timbuktu,16.7735,-3.0074,29.93,54,98,3.31,ML,1726368256
269,mahibadhoo,3.7833,72.9667,28.53,73,15,3.38,MV,1726368257
270,puerto baquerizo moreno,-0.9,-89.6,21.14,88,75,4.57,EC,1726368258
271,yelizovo,53.1873,158.3805,16.08,31,0,6.0,RU,1726368261
272,tarawa,1.419,172.984,32.05,66,40,4.12,KI,1726368262
273,monroe,43.1501,-77.6831,20.26,93,0,2.22,US,1726368263
274,miyang,24.4042,103.4428,25.33,70,15,1.54,CN,1726368264
275,lorengau,-2.0226,147.2712,30.03,65,61,2.24,PG,1726368266
276,jamestown,42.097,-79.2353,18.8,86,0,1.54,US,1726367989
277,la passe,45.5549,-0.8967,9.88,69,24,4.88,FR,1726368269
278,qom,34.6401,50.8764,21.56,46,34,2.16,IR,1726368270
279,san antonio de pale,-1.4014,5.6325,24.06,84,100,5.23,GQ,1726368271
280,chengde,40.9725,117.9361,18.95,44,93,0.58,CN,1726368272
281,kidal,18.4411,1.4078,27.14,61,84,1.71,ML,1726368274
282,revda,56.801,59.9303,11.58,91,2,0.86,RU,1726368275
283,aasiaat,68.7098,-52.8699,-1.08,85,14,2.63,GL,1726368277
284,kijang,35.2442,129.2139,30.85,87,100,5.53,KR,1726368278
285,taroudant,30.4703,-8.877,25.89,38,99,2.5,MA,1726368279
286,nago,26.5881,127.9761,29.43,80,100,5.09,JP,1726368280
287,novo aripuana,-5.1206,-60.3797,28.38,49,20,1.28,BR,1726368281
288,ugoofaaru,5.6667,73.0,28.01,77,33,3.83,MV,1726368282
289,cromer,52.9312,1.2989,11.0,79,89,5.85,GB,1726368283
290,yarmouth,41.7057,-70.2286,18.32,94,0,0.89,US,1726368285
291,vadso,70.0744,29.7487,4.09,93,100,1.54,NO,1726368286
292,vernon,50.2581,-119.2691,16.91,68,98,3.09,CA,1726368287
293,banda aceh,5.5577,95.3222,29.98,63,100,7.17,ID,1726368288
294,quatre cocos,-20.2078,57.7625,21.06,68,97,8.76,MU,1726368289
295,la romana,18.4273,-68.9728,26.2,94,40,0.0,DO,1726368290
296,new plymouth,-39.0667,174.0833,16.0,100,31,6.64,NZ,1726368291
297,teonthar,24.9833,81.65,28.08,75,98,4.12,IN,1726368292
298,vila velha,-20.3297,-40.2925,23.97,84,20,3.6,BR,1726368293
299,san luis de la loma,17.2706,-100.8939,27.49,85,100,0.96,MX,1726368295
300,kindu,-2.95,25.95,20.7,67,23,1.21,CD,1726368296
301,kerema,-7.9631,145.7785,27.12,86,40,4.52,PG,1726368297
302,cobija,-11.0267,-68.7692,29.96,40,83,0.41,BO,1726368298
303,errachidia,31.9275,-4.4285,24.03,46,0,1.54,MA,1726368299
304,manicore,-5.8092,-61.3003,29.9,38,52,1.25,BR,1726368300
305,pau brasil,-15.4642,-39.6511,18.69,98,8,0.57,BR,1726368301
306,leua,48.2156,18.6071,10.48,93,100,4.41,SK,1726368302
307,polyarnyye zori,67.3661,32.4981,7.04,98,100,2.17,RU,1726368304
308,nagqu,31.5,92.0,10.81,56,15,3.35,CN,1726368305
309,dodge city,37.7528,-100.0171,25.69,57,0,4.63,US,1726368306
310,bambanglipuro,-7.95,110.2833,28.62,56,6,6.51,ID,1726368308
311,saraktash,51.7866,51.7866,14.1,71,18,3.18,RU,1726368309
312,flying fish cove,-10.4217,105.6791,26.82,83,100,4.63,CX,1726368310
313,lodeynoye pole,60.726,33.5531,12.24,77,81,2.26,RU,1726368311
314,namtsy,62.7161,129.6658,7.58,44,6,3.68,RU,1726368313
315,vilyuchinsk,52.9306,158.4028,16.15,52,94,5.34,RU,1726368314
316,carnarvon,-24.8667,113.6333,27.48,25,0,9.46,AU,1726368315
317,tafuna,-14.3358,-170.72,29.97,74,75,5.14,AS,1726368316
318,dondo,-19.6094,34.7431,21.73,87,2,2.33,MZ,1726368317
319,guerrero negro,27.9769,-114.0611,19.7,77,0,6.34,MX,1726368318
320,kayangel,8.0823,134.7173,29.06,79,100,9.85,PW,1726368321
321,trincomalee,8.5711,81.2335,29.62,69,64,9.09,LK,1726368322
322,labrador city,52.9463,-66.9114,10.1,63,75,4.92,CA,1726368323
323,puerto deseado,-47.7503,-65.8938,9.71,50,100,10.01,AR,1726368324
324,palikir - national government center,6.9248,158.1611,32.41,58,75,4.12,FM,1726368325
325,kavaratti,10.5669,72.642,26.24,88,100,4.21,IN,1726368327
326,tromso,69.6496,18.957,10.01,76,75,3.6,NO,1726368328
327,lundazi,-12.2929,33.1782,18.97,45,7,3.73,ZM,1726368330
328,colonia rincon viejo,16.9,-95.05,25.37,95,100,0.99,MX,1726368331
329,dhidhdhoo,6.8833,73.1,27.93,77,29,4.16,MV,1726368332
330,harper,4.375,-7.7169,23.88,83,100,4.48,LR,1726368334
331,tindouf,27.6711,-8.1474,29.13,21,0,2.29,DZ,1726368335
332,svay rieng,11.0879,105.7993,27.97,72,100,6.16,KH,1726368336
333,san juan,-31.5375,-68.5364,18.8,30,0,8.79,AR,1726368337
334,lompoc,34.6391,-120.4579,15.94,85,100,3.6,US,1726368338
335,itacarambi,-15.1022,-44.0919,22.77,41,2,0.61,BR,1726368340
336,kone,-21.0595,164.8658,28.52,43,0,5.17,NC,1726368341
337,marsa alam,25.0757,34.8918,28.64,57,2,5.47,EG,1726368342
338,kolokani,13.5728,-8.0339,21.89,91,74,2.67,ML,1726368343
339,mossel bay,-34.1831,22.146,11.96,89,2,3.04,ZA,1726368346
340,margate,51.3813,1.3862,9.83,86,6,3.94,GB,1726368347
341,yamada,39.4667,141.95,29.9,57,100,3.05,JP,1726368348
